matchday_no,opponent_name,opponent_table_position,date,time,away_game,overtime,heidelberg_win,opponent_points,heidelberg_points,opponent_points_1st_quarter,heidelberg_points_1st_quarter,opponent_points_2nd_quarter,heidelberg_points 2nd,opponent_points_3rd_quarter,heidelberg_points 3rd,opponent_points_4th_quarter,heidelberg_points_4th_quarter,total_fans,arena_occupancy,field_goals_attempted,field_goals_made,2_pointer_percentage,3_pointer_percentage,free_throw_percentage,rebounds,assists,turnovers,steals,fouls,jaworski_minutes_played,jaworski_points,jaworski_assists,weekday,rest_days
1,Berlin,2,28.09.2023,20:00,0,0,0,90,81,21,17,23,22,26,19,20,23,4069,92.3,71,31,62.1,31.0,50.0,27,19,9,9,22,0.0,0,0,Thursday,0
2,Rostock,15,01.10.2023,18:30,1,1,0,122,113,19,25,26,22,27,34,21,12,4065,89.3,89,34,51.4,28.8,76.9,42,29,11,9,23,0.0,0,0,Sunday,3
3,Oldenburg,9,07.10.2023,20:00,0,0,0,92,83,26,22,20,18,23,22,23,21,3169,71.9,70,31,95.7,19.1,85.7,44,21,14,5,20,0.0,0,0,Saturday,6
4,Tuebingen,18,21.10.2023,20:00,1,0,1,84,94,29,28,12,25,23,20,20,21,2964,94.6,66,29,41.0,48.1,82.1,44,22,14,8,23,0.0,0,0,Saturday,14
5,Hamburg,10,28.10.2023,20:00,0,0,0,88,73,20,15,28,18,22,20,18,20,3718,84.3,63,24,50.0,25.8,81.0,30,13,17,3,24,0.0,0,0,Saturday,7
6,Bamberg,11,05.11.2023,15:30,0,0,0,109,90,27,20,25,22,32,27,25,21,4410,100.0,72,32,64.5,29.3,87.5,40,15,18,9,21,0.0,0,0,Sunday,8
7,Wuerzburg,5,11.11.2023,20:00,0,0,0,87,54,26,9,15,14,27,19,19,12,3571,81.0,62,22,56.3,13.3,75.0,39,13,19,4,18,0.0,0,0,Saturday,6
8,Crailsheim,17,20.11.2023,20:00,1,0,1,86,93,26,22,18,24,22,19,20,28,2409,80.3,57,29,47.1,56.5,66.7,35,25,17,8,16,0.0,0,0,Monday,9
9,Bonn,7,26.11.2023,15:30,1,0,0,92,69,28,19,24,14,17,21,23,15,6000,100.0,72,26,36.1,36.1,66.7,39,19,11,3,19,0.0,0,0,Sunday,6
10,Ludwigsburg,8,02.12.2023,20:00,0,0,0,72,75,20,21,14,15,23,17,18,19,3703,84.0,70,27,56.1,13.8,82.4,49,16,11,4,21,0.0,0,0,Saturday,6
11,Chemnitz,3,16.12.2023,20:00,1,0,0,93,69,25,20,28,14,25,18,15,17,4359,87.2,67,36,65.9,34.6,63.2,49,21,16,7,19,0.0,0,0,Saturday,14
12,Ulm,4,22.12.2023,18:30,1,0,0,98,89,25,25,29,24,24,16,20,24,5538,89.3,69,32,54.5,38.9,60.0,33,21,16,10,24,0.0,0,0,Friday,6
13,Goettingen,14,27.12.2023,18:30,0,1,0,113,109,22,20,23,29,27,24,24,23,4410,100.0,71,36,58.8,43.2,93.8,30,20,8,5,26,0.0,0,0,Wednesday,5
14,Bayern,1,30.12.2023,20:00,1,0,0,83,57,24,7,17,19,17,11,25,20,6500,97.0,66,19,30.3,27.3,58.8,38,8,14,8,19,0.0,0,0,Saturday,3
15,Vechta,6,05.01.2024,20:00,0,0,0,113,76,27,22,16,19,37,20,33,15,4410,100.0,69,27,41.9,34.6,86.7,22,15,14,7,19,0.0,0,0,Friday,6
16,Braunschweig,12,14.01.2024,17:00,1,0,1,83,84,22,27,14,20,19,16,28,21,4251,66.9,64,29,51.3,36.0,70.8,33,17,14,10,16,0.0,0,0,Sunday,9
17,Syntainics MBC,13,22.01.2024,20:00,0,0,0,111,90,28,16,24,24,29,29,30,21,3966,89.9,77,32,52.4,28.6,66.7,33,17,14,11,19,0.0,0,0,Monday,8
18,Chemnitz,3,27.01.2024,18:30,0,0,0,99,77,21,20,28,19,29,7,21,31,3784,85.8,62,27,50.0,31.8,61.5,38,14,14,8,24,0.0,0,0,Saturday,5
19,Vechta,6,04.02.2024,15:30,1,0,0,109,87,36,22,15,28,25,22,33,15,3140,100.0,59,31,66.7,34.6,80.0,30,17,19,6,22,0.0,0,0,Sunday,8
20,Braunschweig,12,09.02.2024,18:30,0,0,0,76,94,25,25,28,17,22,22,19,12,3774,85.6,61,23,42.5,28.6,66.7,33,18,12,8,21,0.0,0,0,Friday,5
21,Bamberg,11,13.02.2024,20:00,1,0,0,98,83,17,23,28,26,31,12,22,22,4255,70.9,73,32,53.1,36.6,57.1,35,19,16,8,18,0.0,0,0,Tuesday,4
22,Goettingen,14,03.03.2024,15:30,1,0,0,94,91,25,25,19,20,25,26,25,20,3347,97.1,76,31,55.8,21.2,91.7,43,20,9,1,19,29.42,14,4,Sunday,19
23,Bonn,7,10.03.2024,15:30,0,0,1,92,87,15,25,25,24,24,19,23,24,4199,95.2,66,31,52.5,38.5,87.0,37,21,12,7,20,32.13,21,3,Sunday,7
24,Rostock,15,16.03.2024,18:30,0,0,1,88,86,18,22,26,17,18,12,24,37,3877,87.9,73,33,56.4,32.4,84.6,35,18,10,6,20,33.04,22,11,Saturday,6
25,Oldenburg,9,23.03.2024,18:30,1,0,0,99,77,24,18,26,10,27,25,22,24,6200,100.0,64,25,42.1,34.6,81.8,34,15,20,9,23,30.4,22,5,Saturday,7
26,Crailsheim,17,30.03.2024,18:30,0,0,1,86,90,24,24,20,31,20,22,22,13,4410,100.0,68,29,52.9,32.4,84.0,39,16,9,5,14,37.42,18,9,Saturday,7
27,Hamburg,10,08.04.2024,20:00,1,0,1,79,83,21,19,20,23,19,22,19,19,2307,65.9,68,30,51.4,35.5,80.0,35,12,16,8,26,38.56,31,5,Monday,9
28,Ludwigsburg,8,13.04.2024,20:00,1,0,0,93,68,26,13,22,19,20,16,25,20,3759,80.0,79,25,42.2,17.6,70.6,45,9,14,7,22,33.21,19,2,Saturday,5
29,Bayern,1,21.04.2024,15:30,0,0,1,89,82,14,17,30,25,13,21,25,26,9796,91.6,64,27,56.3,28.1,70.3,38,11,5,5,23,36.34,21,3,Sunday,8
30,Syntainics MBC,13,26.04.2024,20:00,1,0,0,104,97,31,18,28,36,23,22,22,21,2700,90.0,67,30,55.9,33.3,76.5,31,18,14,7,24,36.32,28,8,Friday,5
31,Berlin,2,30.04.2024,18:30,1,0,0,96,89,28,17,19,28,22,24,27,20,6689,46.1,73,34,57.5,33.3,62.5,31,25,10,4,28,34.38,11,11,Tuesday,4
32,Ulm,4,04.05.2024,20:00,0,0,0,73,57,24,17,18,14,18,15,13,11,4410,100.0,59,19,46.9,14.8,60.0,38,10,15,9,19,30.31,16,0,Saturday,4
33,Wuerzburg,5,08.05.2024,18:30,1,0,0,98,84,24,17,20,18,29,24,25,25,3089,98.4,69,29,55.3,25.8,72.0,40,19,14,4,15,27.03,9,4,Wednesday,4
34,Tuebingen,18,12.05.2024,15:30,0,0,1,93,78,18,26,20,27,22,18,18,22,4410,100.0,64,29,43.4,47.1,73.1,38,16,14,7,23,34.56,22,4,Sunday,4
